"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"(a) | (G(b))","cd.ltl2ldba.no","ok",0,0.485109,3,4,10,1,3,1,1,0,401,6291,3,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 2 {0} [1] 1 State: 1 [1] 1 {0} State: 2 [t] 2 {0} --END--"
"(a) | (G(b))","cd.ltl2ldba.yes","ok",0,0.458284,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [!0&1] 1 [0] 2 State: 1 {0} [1] 1 State: 2 {0} [t] 2 --END--"
"(a) | (G(b))","cd.seminator.no","ok",0,0.014221,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.seminator.yes","ok",0,0.0124774,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.sem_enter.no","ok",0,0.0145558,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.sem_enter.yes","ok",0,0.0127602,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.sem_always.no","ok",0,0.0149967,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.sem_always.yes","ok",0,0.0157246,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.2-step.no","ok",0,0.0179465,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","cd.2-step.yes","ok",0,0.0164138,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.ltl2ldba.no","ok",0,0.429312,3,4,10,1,3,1,1,0,401,6291,3,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 2 {0} [1] 1 State: 1 [1] 1 {0} State: 2 [t] 2 {0} --END--"
"(a) | (G(b))","sd.ltl2ldba.yes","ok",0,0.427728,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [!0&1] 1 [0] 2 State: 1 {0} [1] 1 State: 2 {0} [t] 2 --END--"
"(a) | (G(b))","sd.nba2ldba.no","ok",0,0.360159,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [0] 1 [!0&1] 2 State: 1 {0} [t] 1 State: 2 {0} [1] 2 --END--"
"(a) | (G(b))","sd.nba2ldba.yes","ok",0,0.362639,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.seminator.no","ok",0,0.0133213,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.seminator.yes","ok",0,0.0136662,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.sem_enter.no","ok",0,0.0147321,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.sem_enter.yes","ok",0,0.0138142,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.sem_always.no","ok",0,0.0152401,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.sem_always.yes","ok",0,0.0145937,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.2-step.no","ok",0,0.0148464,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
"(a) | (G(b))","sd.2-step.yes","ok",0,0.0141169,3,4,9,1,3,0,0,0,401,6288,3,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 State: 2 [0] 0 [!0&1] 1 --END--"
