"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","sd.seminator.no","ok",0,0.0173736,11,31,85,1,11,3,1,0,2196,45553,212,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [!0] 0 [0&!1&2] 1 [!0&!1&2] 2 [0&1] 3 [!0&1] 4 [0&!1&!2] 5 [!0&2] 8 State: 1 ""1"" [t] 1 [t] 10 State: 2 ""2"" [0&1 | 0&!2] 1 [!0&1 | !0&!2] 2 State: 3 ""3"" [!1&2] 1 [1] 3 [!1&!2] 6 [1&2] 9 State: 4 ""4"" [0&!1&!2] 6 [!0&!1&!2] 7 State: 5 ""5"" [!1&2] 1 [1] 3 [!1&!2] 5 State: 6 ""6"" [2] 1 [!2] 6 State: 7 ""7"" [0&1&2] 1 [!0&1&2] 2 [0&!2] 6 [!0&!2] 7 State: 8 ""(0, {}, {0})"" [!0&!2] 8 [!0&2] 8 {0} State: 9 ""(0, {}, {3})"" [1&!2] 9 [1&2] 9 {0} State: 10 ""(0, {}, {1})"" [t] 10 {0} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","cd.seminator.no","ok",0,0.0239447,22,111,240,1,18,16,1,0,4316,125813,51,"HOA: v1 States: 22 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""{0}"" [!0&!1&!2] 0 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 5 [!0&1] 6 State: 1 ""(0, {}, {0})"" [!0&!2] 1 [!0&2] 1 {0} State: 2 ""{3}"" [1] 2 [!1&2] 3 [1&2] 13 [!1&!2] 14 State: 3 ""{1}"" [t] 3 [t] 19 State: 4 ""{02}"" [!0&2] 1 [0&!1&2] 3 [!0&!1] 4 [0&1] 9 [!0&1] 10 [0&!1&!2] 21 State: 5 ""{5}"" [1] 2 [!1&2] 3 [!1&!2] 5 State: 6 ""{04}"" [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [!0&1] 6 [0&!1&!2] 7 [!0&!1&!2] 8 State: 7 ""{56}"" [!1&2] 3 [!1&!2] 7 [1&2] 9 [1&!2] 12 State: 8 ""{07}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 7 [!0&!1&!2] 8 [0&1&2] 9 [!0&1&2] 10 [!0&1&!2] 11 [0&1&!2] 12 State: 9 ""{13}"" [!1&2] 3 [1] 9 [1&2] 13 [t] 19 [!1&!2] 20 State: 10 ""{024}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1] 9 [!0&1] 10 [0&!1&!2] 15 [!0&!1&!2] 16 State: 11 ""{047}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 7 [!0&!1&!2] 8 [0&1&2] 9 [!0&1&2] 10 [!0&1&!2] 11 [0&1&!2] 12 State: 12 ""{36}"" [!1&2] 3 [1&2] 9 [1&!2] 12 [1&2] 13 [!1&!2] 14 State: 13 ""(0, {}, {3})"" [1&!2] 13 [1&2] 13 {0} State: 14 ""{6}"" [2] 3 [!2] 14 State: 15 ""{156}"" [!1&2] 3 [1&2] 9 [!1&!2] 15 [1&!2] 18 [t] 19 State: 16 ""{027}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1&2] 9 [!0&1&2] 10 [0&!1&!2] 15 [!0&!1&!2] 16 [!0&1&!2] 17 [0&1&!2] 18 State: 17 ""{0247}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1&2] 9 [!0&1&2] 10 [0&!1&!2] 15 [!0&!1&!2] 16 [!0&1&!2] 17 [0&1&!2] 18 State: 18 ""{136}"" [!1&2] 3 [1&2] 9 [1&2] 13 [1&!2] 18 [t] 19 [!1&!2] 20 State: 19 ""(0, {}, {1})"" [t] 19 {0} State: 20 ""{16}"" [2] 3 [t] 19 [!2] 20 State: 21 ""{15}"" [!1&2] 3 [1] 9 [t] 19 [!1&!2] 21 --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","sd.nba2ldba.yes","ok",0,0.572533,53,248,427,1,38,3,1,0,10377,223458,2854,"HOA: v1 States: 53 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0] 0 [0&!1&!2] 1 [!0&1] 2 [0&1] 3 [!0&!1&2] 4 [0&1] 6 [!0&2] 7 [0&!1&2] 8 State: 1 [!1&!2] 1 [1] 3 [1] 6 [!1&2] 8 State: 2 [!0&!1&!2] 9 [0&!1&!2] 10 State: 3 [1] 3 [1&2] 6 [!1&2] 8 [!1&!2] 10 State: 4 [!0&1 | !0&!2] 4 [0&1 | 0&!2] 8 State: 5 [t] 8 State: 6 [1&2] 6 {0} [!1&2] 8 [!1&!2] 22 [1&!2] 27 {0} State: 7 [0&1] 6 [0&!1&2] 8 [!0&!1&!2] 17 [0&!1&!2] 18 [!0&1&!2] 19 [!0&!1&2] 20 [!0&1&2] 21 State: 8 [t] 8 {0} State: 9 [!0&1&2] 4 [0&1&2] 8 [!0&!2] 9 [0&!2] 10 State: 10 [2] 8 [!2] 10 State: 11 [!1&2] 8 [!1&!2] 12 [1] 13 State: 12 [!1&2] 8 [!1&!2] 12 [1] 13 State: 13 [!1&2] 8 [1&2] 36 [!1&!2] 45 [1&!2] 49 State: 14 [!1&2] 8 [1&2] 13 [!1&!2] 15 [1&!2] 16 State: 15 [!1&2] 8 [1&2] 13 [!1&!2] 15 [1&!2] 16 State: 16 [!1&2] 8 [1&!2] 16 [1&2] 36 [!1&!2] 45 State: 17 [0&!1&2] 5 [!0&1&2] 30 [!0&!1&!2] 37 [0&!1&!2] 38 [!0&1&!2] 39 [0&1] 40 [!0&!1&2] 41 State: 18 [!1&2] 5 [!1&!2] 38 [1] 40 State: 19 [0&!1&2] 5 [!0&1&2] 30 {0} [!0&1&!2] 39 {0} [0&1] 40 [!0&!1&2] 41 [0&!1&!2] 44 [!0&!1&!2] 47 State: 20 [0&!1&2] 8 [0&1] 13 [!0&!1&2] 20 {0} [!0&1] 26 {0} [!0&!1&!2] 41 {0} [0&!1&!2] 42 State: 21 [0&1] 6 [0&!1&2] 8 [!0&1&!2] 19 {0} [!0&!1&2] 20 [!0&1&2] 21 {0} [!0&!1&!2] 31 [0&!1&!2] 32 State: 22 [2] 5 [!2] 22 State: 23 [0&!1&2] 8 [0&1] 13 [!0&!1&2] 20 {0} [!0&!1&!2] 24 {0} [0&!1&!2] 25 [!0&1] 26 {0} State: 24 [0&!1&2] 8 [0&1&2] 13 [0&1&!2] 16 [!0&!1&2] 20 [!0&!1&!2] 24 [0&!1&!2] 25 [!0&1&2] 26 [!0&1&!2] 46 State: 25 [!1&2] 8 [1&!2] 16 [!1&!2] 25 [1&2] 36 State: 26 [0&!1&2] 8 [0&1] 13 [!0&!1&2] 20 [!0&1] 26 [!0&!1&!2] 33 [0&!1&!2] 34 State: 27 [!1&2] 5 [!1&!2] 22 [1&2] 40 {0} [1&!2] 43 {0} State: 28 [!1&2] 8 [!1&!2] 10 [1&2] 13 [1&!2] 28 State: 29 [!1&2] 8 [1&2] 13 [!1&!2] 22 [1&!2] 29 State: 30 [0&1] 6 [0&!1&2] 8 [!0&1&!2] 19 [!0&!1&2] 20 [!0&1&2] 21 [!0&!1&!2] 31 [0&!1&!2] 32 State: 31 [0&!1&2] 8 [0&1&2] 13 [!0&!1&2] 20 [!0&1&2] 26 [0&1&!2] 29 [!0&!1&!2] 31 [0&!1&!2] 32 [!0&1&!2] 52 State: 32 [!1&2] 8 [1&2] 13 [1&!2] 29 [!1&!2] 32 State: 33 [0&!1&2] 8 [!0&!1&2] 20 [!0&1&2] 23 [!0&!2] 33 [0&!1&!2] 34 [0&1&!2] 35 [0&1&2] 36 State: 34 [!1&2] 8 [!1&!2] 14 [1&2] 36 [1&!2] 51 State: 35 [!1&2] 8 [1&2] 36 [!1&!2] 45 [1&!2] 50 State: 36 [!1&2] 8 [1&2] 36 {0} [!1&!2] 45 [1&!2] 49 {0} State: 37 [0&!1&2] 5 [!0&1&2] 30 [!0&!1&!2] 37 [0&!1&!2] 38 [!0&1&!2] 39 [0&1] 40 [!0&!1&2] 41 State: 38 [!1&2] 5 [!1&!2] 38 [1] 40 State: 39 [0&!1&2] 5 [!0&1&2] 30 [!0&1&!2] 39 [0&1] 40 [!0&!1&2] 41 [0&!1&!2] 44 [!0&!1&!2] 47 State: 40 [1&2] 6 [!1&2] 8 [!1&!2] 22 [1&!2] 27 State: 41 [0&!1&2] 8 [0&1] 13 [!0&!1&2] 20 [!0&1] 26 [!0&!1&!2] 41 [0&!1&!2] 42 State: 42 [!1&2] 8 [!1&!2] 11 [1] 36 State: 43 [!1&2] 5 [!1&!2] 22 [1&2] 40 [1&!2] 43 State: 44 [!1&2] 5 [1&2] 13 [1&!2] 29 [!1&!2] 44 State: 45 [2] 8 [!2] 10 State: 46 [0&!1&2] 8 [0&1&2] 13 [0&1&!2] 16 [!0&!1&2] 20 [!0&1&2] 26 [!0&!1&!2] 33 [0&!1&!2] 34 [!0&1&!2] 46 State: 47 [0&!1&2] 5 [0&1&2] 13 [0&1&!2] 29 [!0&!1&2] 41 [0&!1&!2] 44 [!0&!2] 47 [!0&1&2] 48 State: 48 [0&!1&2] 8 [0&1] 13 [!0&!1&2] 20 [!0&!1&!2] 24 [0&!1&!2] 25 [!0&1] 26 State: 49 [!1&2] 8 [!1&!2] 10 [1&2] 13 {0} [1&!2] 28 {0} State: 50 [!1&2] 8 [!1&!2] 10 [1&2] 13 [1&!2] 28 State: 51 [!1&2] 8 [1&!2] 16 [1&2] 36 [!1&!2] 45 State: 52 [0&!1&2] 8 [0&1&2] 13 [!0&!1&2] 20 [!0&1&2] 26 [0&1&!2] 29 [0&!1&!2] 44 [!0&!1&!2] 47 [!0&1&!2] 52 --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","cd.seminator.yes","ok",0,0.0369633,13,45,108,1,13,6,1,0,2580,57111,238,"HOA: v1 States: 13 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [!0&!1&!2] 0 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 5 [!0&1] 6 State: 1 [!0&!2] 1 [!0&2] 1 {0} State: 2 [1] 2 [!1&2] 3 [1&2] 10 [!1&!2] 11 State: 3 [t] 12 State: 4 [!0&2] 1 [0] 3 [!0] 4 State: 5 [1] 2 [!1&2] 3 [!1&!2] 5 State: 6 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [!0&1] 6 [0&!1&!2] 7 [!0&!1&!2] 8 State: 7 [2] 3 [!1&!2] 7 [1&!2] 9 State: 8 [!0&2] 1 [0&2] 3 [!0&2] 4 [0&!1&!2] 7 [!0&!2] 8 [0&1&!2] 9 State: 9 [2] 3 [1&!2] 9 [1&2] 10 [!1&!2] 11 State: 10 [1&!2] 10 [1&2] 10 {0} State: 11 [2] 3 [!2] 11 State: 12 [t] 12 {0} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","sd.ltl2ldba.no","ok",0,0.562718,15,86,153,2,12,4,1,1,2996,81826,17,"HOA: v1 States: 15 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1&!2] 0 [0&!1&!2] 8 [!0&1&!2] 5 [!0&1&!2] 0 [0&1&!2] 2 [!0&!1&2] 7 [!0&!1&2] 0 [0&!1&2] 1 {0} [!0&1&2] 5 [!0&1&2] 0 [0&1&2] 2 [!0&!1&!2] 9 [!0&!1&!2] 10 [!0&!1&!2] 11 [0&!1&!2] 4 [0&!1&!2] 9 [!0&1&!2] 9 [!0&1&!2] 10 [!0&1&!2] 11 [0&1&!2] 4 [!0&!1&2] 9 [!0&!1&2] 10 [!0&!1&2] 11 [!0&1&2] 9 [!0&1&2] 10 [!0&1&2] 11 [0&1&2] 4 State: 1 [t] 1 {0 1} State: 2 [!1&!2] 3 [1&!2] 2 [!1&2] 1 {0} [1&2] 2 [1&!2] 4 [1&2] 4 State: 3 [!2] 3 [2] 1 {0} State: 4 [!2] 4 {1} [2] 4 {0 1} State: 5 [!0&!1&!2] 6 [0&!1&!2] 3 [!0&1&!2] 5 [0&1&!2] 2 [!0&!1&2] 7 [0&!1&2] 1 {0} [!0&1&2] 5 [0&1&2] 2 [0&1&!2] 4 [0&1&2] 4 State: 6 [!0&!2] 6 [0&!2] 3 [!0&2] 7 [0&2] 1 {0} State: 7 [!0] 7 [0] 1 {0} State: 8 [!1&!2] 8 [1&!2] 2 [!1&2] 1 {0} [1&2] 2 [!1&!2] 4 [!1&!2] 9 [1&!2] 4 [1&2] 4 State: 9 [!1&!2] 12 {1} [1&!2] 9 {1} [!1&2] 9 {0 1} [1&2] 9 {1} State: 10 [!1&!2] 10 {1} [1&!2] 14 {1} [!1&2] 10 {0 1} [1&2] 14 {1} State: 11 [!1&!2] 11 [1&!2] 11 {1} [!1&2] 11 {0 1} [1&2] 11 {0 1} State: 12 [!1&!2] 12 {1} [1&!2] 12 {1} [!1&2] 9 {0 1} [1&2] 9 {0 1} State: 13 [!1&!2] 13 {1} [1&!2] 13 {1} [!1&2] 10 {0 1} [1&2] 10 {0 1} State: 14 [!1&!2] 13 {1} [1&!2] 14 {1} [!1&2] 10 {0 1} [1&2] 14 {1} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","cd.ltl2ldba.no","ok",0,0.667902,15,125,186,2,12,6,1,1,2980,98245,36,"HOA: v1 States: 15 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1&!2] 0 [0&!1&!2] 11 [!0&1&!2] 10 [0&1&!2] 8 [!0&!1&2] 3 [0&!1&2] 4 {0} [!0&1&2] 10 [0&1&2] 8 [!0&!1&!2] 5 [!0&!1&!2] 6 [!0&!1&!2] 7 [0&!1&!2] 9 [0&!1&!2] 6 [!0&1&!2] 5 [!0&1&!2] 6 [!0&1&!2] 7 [0&1&!2] 9 [!0&!1&2] 5 [!0&!1&2] 6 [!0&!1&2] 7 [!0&1&2] 5 [!0&1&2] 6 [!0&1&2] 7 [0&1&2] 9 State: 1 [!0&!1&!2] 1 [0&!1&!2] 2 [!0&1&!2] 1 [0&1&!2] 2 [!0&!1&2] 3 [0&2] 4 {0} [!0&1&2] 3 [!0&!1&!2] 5 [!0&!1&!2] 6 [!0&!1&!2] 7 [!0&1&!2] 5 [!0&1&!2] 6 [!0&1&!2] 7 [!0&!1&2] 5 [!0&!1&2] 6 [!0&!1&2] 7 [!0&1&2] 5 [!0&1&2] 6 [!0&1&2] 7 State: 2 [!2] 2 [2] 4 {0} State: 3 [!0&!1&!2] 3 [0] 4 {0} [!0&1&!2] 3 [!0&!1&2] 3 [!0&1&2] 3 [!0&!1&!2] 5 [!0&!1&!2] 6 [!0&!1&!2] 7 [!0&1&!2] 5 [!0&1&!2] 6 [!0&1&!2] 7 [!0&!1&2] 5 [!0&!1&2] 6 [!0&!1&2] 7 [!0&1&2] 5 [!0&1&2] 6 [!0&1&2] 7 State: 4 [t] 4 {0 1} State: 5 [!1&!2] 5 [1&!2] 5 {1} [!1&2] 5 {0 1} [1&2] 5 {0 1} State: 6 [!1&!2] 12 {1} [1&!2] 6 {1} [!1&2] 6 {0 1} [1&2] 6 {1} State: 7 [!1&!2] 7 {1} [1&!2] 14 {1} [!1&2] 7 {0 1} [1&2] 14 {1} State: 8 [!1&!2] 2 [1&!2] 8 [!1&2] 4 {0} [1&2] 8 [1&!2] 9 [1&2] 9 State: 9 [!2] 9 {1} [2] 9 {0 1} State: 10 [!0&!1&!2] 1 [0&!1&!2] 2 [!0&1&!2] 10 [0&1&!2] 8 [!0&!1&2] 3 [0&!1&2] 4 {0} [!0&1&2] 10 [0&1&2] 8 [!0&!1&!2] 5 [!0&!1&!2] 6 [!0&!1&!2] 7 [!0&1&!2] 5 [!0&1&!2] 6 [!0&1&!2] 7 [0&1&!2] 9 [!0&!1&2] 5 [!0&!1&2] 6 [!0&!1&2] 7 [!0&1&2] 5 [!0&1&2] 6 [!0&1&2] 7 [0&1&2] 9 State: 11 [!1&!2] 11 [1&!2] 8 [!1&2] 4 {0} [1&2] 8 [!1&!2] 9 [!1&!2] 6 [1&!2] 9 [1&2] 9 State: 12 [!1&!2] 12 {1} [1&!2] 12 {1} [!1&2] 6 {0 1} [1&2] 6 {0 1} State: 13 [!1&!2] 13 {1} [1&!2] 13 {1} [!1&2] 7 {0 1} [1&2] 7 {0 1} State: 14 [!1&!2] 13 {1} [1&!2] 14 {1} [!1&2] 7 {0 1} [1&2] 14 {1} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","cd.2-step.yes","ok",0,0.0294479,13,45,108,1,13,6,1,0,2580,57111,238,"HOA: v1 States: 13 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [!0&!1&!2] 0 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 5 [!0&1] 6 State: 1 [!0&!2] 1 [!0&2] 1 {0} State: 2 [1] 2 [!1&2] 3 [1&2] 10 [!1&!2] 11 State: 3 [t] 12 State: 4 [!0&2] 1 [0] 3 [!0] 4 State: 5 [1] 2 [!1&2] 3 [!1&!2] 5 State: 6 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [!0&1] 6 [0&!1&!2] 7 [!0&!1&!2] 8 State: 7 [2] 3 [!1&!2] 7 [1&!2] 9 State: 8 [!0&2] 1 [0&2] 3 [!0&2] 4 [0&!1&!2] 7 [!0&!2] 8 [0&1&!2] 9 State: 9 [2] 3 [1&!2] 9 [1&2] 10 [!1&!2] 11 State: 10 [1&!2] 10 [1&2] 10 {0} State: 11 [2] 3 [!2] 11 State: 12 [t] 12 {0} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","cd.2-step.no","ok",0,0.0226819,22,111,240,1,18,16,1,0,4316,125813,51,"HOA: v1 States: 22 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""{0}"" [!0&!1&!2] 0 [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 5 [!0&1] 6 State: 1 ""(0, {}, {0})"" [!0&!2] 1 [!0&2] 1 {0} State: 2 ""{3}"" [1] 2 [!1&2] 3 [1&2] 13 [!1&!2] 14 State: 3 ""{1}"" [t] 3 [t] 19 State: 4 ""{02}"" [!0&2] 1 [0&!1&2] 3 [!0&!1] 4 [0&1] 9 [!0&1] 10 [0&!1&!2] 21 State: 5 ""{5}"" [1] 2 [!1&2] 3 [!1&!2] 5 State: 6 ""{04}"" [!0&2] 1 [0&1] 2 [0&!1&2] 3 [!0&!1&2] 4 [!0&1] 6 [0&!1&!2] 7 [!0&!1&!2] 8 State: 7 ""{56}"" [!1&2] 3 [!1&!2] 7 [1&2] 9 [1&!2] 12 State: 8 ""{07}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 7 [!0&!1&!2] 8 [0&1&2] 9 [!0&1&2] 10 [!0&1&!2] 11 [0&1&!2] 12 State: 9 ""{13}"" [!1&2] 3 [1] 9 [1&2] 13 [t] 19 [!1&!2] 20 State: 10 ""{024}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1] 9 [!0&1] 10 [0&!1&!2] 15 [!0&!1&!2] 16 State: 11 ""{047}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&!1&!2] 7 [!0&!1&!2] 8 [0&1&2] 9 [!0&1&2] 10 [!0&1&!2] 11 [0&1&!2] 12 State: 12 ""{36}"" [!1&2] 3 [1&2] 9 [1&!2] 12 [1&2] 13 [!1&!2] 14 State: 13 ""(0, {}, {3})"" [1&!2] 13 [1&2] 13 {0} State: 14 ""{6}"" [2] 3 [!2] 14 State: 15 ""{156}"" [!1&2] 3 [1&2] 9 [!1&!2] 15 [1&!2] 18 [t] 19 State: 16 ""{027}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1&2] 9 [!0&1&2] 10 [0&!1&!2] 15 [!0&!1&!2] 16 [!0&1&!2] 17 [0&1&!2] 18 State: 17 ""{0247}"" [!0&2] 1 [0&!1&2] 3 [!0&!1&2] 4 [0&1&2] 9 [!0&1&2] 10 [0&!1&!2] 15 [!0&!1&!2] 16 [!0&1&!2] 17 [0&1&!2] 18 State: 18 ""{136}"" [!1&2] 3 [1&2] 9 [1&2] 13 [1&!2] 18 [t] 19 [!1&!2] 20 State: 19 ""(0, {}, {1})"" [t] 19 {0} State: 20 ""{16}"" [2] 3 [t] 19 [!2] 20 State: 21 ""{15}"" [!1&2] 3 [1] 9 [t] 19 [!1&!2] 21 --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","sd.2-step.no","ok",0,0.0224687,11,31,85,1,11,3,1,0,2196,45553,212,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [!0] 0 [0&!1&2] 1 [!0&!1&2] 2 [0&1] 3 [!0&1] 4 [0&!1&!2] 5 [!0&2] 8 State: 1 ""1"" [t] 1 [t] 10 State: 2 ""2"" [0&1 | 0&!2] 1 [!0&1 | !0&!2] 2 State: 3 ""3"" [!1&2] 1 [1] 3 [!1&!2] 6 [1&2] 9 State: 4 ""4"" [0&!1&!2] 6 [!0&!1&!2] 7 State: 5 ""5"" [!1&2] 1 [1] 3 [!1&!2] 5 State: 6 ""6"" [2] 1 [!2] 6 State: 7 ""7"" [0&1&2] 1 [!0&1&2] 2 [0&!2] 6 [!0&!2] 7 State: 8 ""(0, {}, {0})"" [!0&!2] 8 [!0&2] 8 {0} State: 9 ""(0, {}, {3})"" [1&!2] 9 [1&2] 9 {0} State: 10 ""(0, {}, {1})"" [t] 10 {0} --END--"
"(F(a)) R (((b) | (c)) R ((!(b)) R (F(c))))","sd.seminator.yes","ok",0,0.035034,11,30,77,1,11,2,1,0,2196,41284,411,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [!0] 0 [0&!1&2] 1 [!0&!1&2] 2 [0&1] 3 [!0&1] 4 [0&!1&!2] 5 [!0&2] 8 State: 1 [t] 10 State: 2 [0&1 | 0&!2] 1 [!0&1 | !0&!2] 2 State: 3 [!1&2] 1 [1] 3 [!1&!2] 6 [1&2] 9 State: 4 [0&!1&!2] 6 [!0&!1&!2] 7 State: 5 [!1&2] 1 [1] 3 [!1&!2] 5 State: 6 [2] 1 [!2] 6 State: 7 [0&1&2] 1 [!0&1&2] 2 [0&!2] 6 [!0&!2] 7 State: 8 [!0&!2] 8 [!0&2] 8 {0} State: 9 [1&!2] 9 [1&2] 9 {0} State: 10 [t] 10 {0} --END--"
